@RELATION winequality_outliers

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE outlier {0,1}

@DATA
1.141e+01,7.400e-01,2.500e+00,2.100e+01,8.800e+01,2.480e+00,2.010e+00,4.200e-01,1.440e+00,3.080e+00,1.100e+00,2.310e+00,4.340e+02,0
1.208e+01,1.390e+00,2.500e+00,2.250e+01,8.400e+01,2.560e+00,2.290e+00,4.300e-01,1.040e+00,2.900e+00,9.300e-01,3.190e+00,3.850e+02,0
1.103e+01,1.510e+00,2.200e+00,2.150e+01,8.500e+01,2.460e+00,2.170e+00,5.200e-01,2.010e+00,1.900e+00,1.710e+00,2.870e+00,4.070e+02,0
1.182e+01,1.470e+00,1.990e+00,2.080e+01,8.600e+01,1.980e+00,1.600e+00,3.000e-01,1.530e+00,1.950e+00,9.500e-01,3.330e+00,4.950e+02,0
1.242e+01,1.610e+00,2.190e+00,2.250e+01,1.080e+02,2.000e+00,2.090e+00,3.400e-01,1.610e+00,2.060e+00,1.060e+00,2.960e+00,3.450e+02,0
1.277e+01,3.430e+00,1.980e+00,1.600e+01,8.000e+01,1.630e+00,1.250e+00,4.300e-01,8.300e-01,3.400e+00,7.000e-01,2.120e+00,3.720e+02,0
1.200e+01,3.430e+00,2.000e+00,1.900e+01,8.700e+01,2.000e+00,1.640e+00,3.700e-01,1.870e+00,1.280e+00,9.300e-01,3.050e+00,5.640e+02,0
1.145e+01,2.400e+00,2.420e+00,2.000e+01,9.600e+01,2.900e+00,2.790e+00,3.200e-01,1.830e+00,3.250e+00,8.000e-01,3.390e+00,6.250e+02,0
1.156e+01,2.050e+00,3.230e+00,2.850e+01,1.190e+02,3.180e+00,5.080e+00,4.700e-01,1.870e+00,6.000e+00,9.300e-01,3.690e+00,4.650e+02,0
1.242e+01,4.430e+00,2.730e+00,2.650e+01,1.020e+02,2.200e+00,2.130e+00,4.300e-01,1.710e+00,2.080e+00,9.200e-01,3.120e+00,3.650e+02,0
1.305e+01,5.800e+00,2.130e+00,2.150e+01,8.600e+01,2.620e+00,2.650e+00,3.000e-01,2.010e+00,2.600e+00,7.300e-01,3.100e+00,3.800e+02,0
1.187e+01,4.310e+00,2.390e+00,2.100e+01,8.200e+01,2.860e+00,3.030e+00,2.100e-01,2.910e+00,2.800e+00,7.500e-01,3.640e+00,3.800e+02,0
1.207e+01,2.160e+00,2.170e+00,2.100e+01,8.500e+01,2.600e+00,2.650e+00,3.700e-01,1.350e+00,2.760e+00,8.600e-01,3.280e+00,3.780e+02,0
1.243e+01,1.530e+00,2.290e+00,2.150e+01,8.600e+01,2.740e+00,3.150e+00,3.900e-01,1.770e+00,3.940e+00,6.900e-01,2.840e+00,3.520e+02,0
1.179e+01,2.130e+00,2.780e+00,2.850e+01,9.200e+01,2.130e+00,2.240e+00,5.800e-01,1.760e+00,3.000e+00,9.700e-01,2.440e+00,4.660e+02,0
1.237e+01,1.630e+00,2.300e+00,2.450e+01,8.800e+01,2.220e+00,2.450e+00,4.000e-01,1.900e+00,2.120e+00,8.900e-01,2.780e+00,3.420e+02,0
1.204e+01,4.300e+00,2.380e+00,2.200e+01,8.000e+01,2.100e+00,1.750e+00,4.200e-01,1.350e+00,2.600e+00,7.900e-01,2.570e+00,5.800e+02,0
1.286e+01,1.350e+00,2.320e+00,1.800e+01,1.220e+02,1.510e+00,1.250e+00,2.100e-01,9.400e-01,4.100e+00,7.600e-01,1.290e+00,6.300e+02,0
1.288e+01,2.990e+00,2.400e+00,2.000e+01,1.040e+02,1.300e+00,1.220e+00,2.400e-01,8.300e-01,5.400e+00,7.400e-01,1.420e+00,5.300e+02,0
1.281e+01,2.310e+00,2.400e+00,2.400e+01,9.800e+01,1.150e+00,1.090e+00,2.700e-01,8.300e-01,5.700e+00,6.600e-01,1.360e+00,5.600e+02,0
1.270e+01,3.550e+00,2.360e+00,2.150e+01,1.060e+02,1.700e+00,1.200e+00,1.700e-01,8.400e-01,5.000e+00,7.800e-01,1.290e+00,6.000e+02,0
1.251e+01,1.240e+00,2.250e+00,1.750e+01,8.500e+01,2.000e+00,5.800e-01,6.000e-01,1.250e+00,5.450e+00,7.500e-01,1.510e+00,6.500e+02,0
1.260e+01,2.460e+00,2.200e+00,1.850e+01,9.400e+01,1.620e+00,6.600e-01,6.300e-01,9.400e-01,7.100e+00,7.300e-01,1.580e+00,6.950e+02,0
1.225e+01,4.720e+00,2.540e+00,2.100e+01,8.900e+01,1.380e+00,4.700e-01,5.300e-01,8.000e-01,3.850e+00,7.500e-01,1.270e+00,7.200e+02,0
1.253e+01,5.510e+00,2.640e+00,2.500e+01,9.600e+01,1.790e+00,6.000e-01,6.300e-01,1.100e+00,5.000e+00,8.200e-01,1.690e+00,5.150e+02,0
1.349e+01,3.590e+00,2.190e+00,1.950e+01,8.800e+01,1.620e+00,4.800e-01,5.800e-01,8.800e-01,5.700e+00,8.100e-01,1.820e+00,5.800e+02,0
1.284e+01,2.960e+00,2.610e+00,2.400e+01,1.010e+02,2.320e+00,6.000e-01,5.300e-01,8.100e-01,4.920e+00,8.900e-01,2.150e+00,5.900e+02,0
1.293e+01,2.810e+00,2.700e+00,2.100e+01,9.600e+01,1.540e+00,5.000e-01,5.300e-01,7.500e-01,4.600e+00,7.700e-01,2.310e+00,6.000e+02,0
1.336e+01,2.560e+00,2.350e+00,2.000e+01,8.900e+01,1.400e+00,5.000e-01,3.700e-01,6.400e-01,5.600e+00,7.000e-01,2.470e+00,7.800e+02,0
1.352e+01,3.170e+00,2.720e+00,2.350e+01,9.700e+01,1.550e+00,5.200e-01,5.000e-01,5.500e-01,4.350e+00,8.900e-01,2.060e+00,5.200e+02,0
1.362e+01,4.950e+00,2.350e+00,2.000e+01,9.200e+01,2.000e+00,8.000e-01,4.700e-01,1.020e+00,4.400e+00,9.100e-01,2.050e+00,5.500e+02,0
1.225e+01,3.880e+00,2.200e+00,1.850e+01,1.120e+02,1.380e+00,7.800e-01,2.900e-01,1.140e+00,8.210e+00,6.500e-01,2.000e+00,8.550e+02,0
1.316e+01,3.570e+00,2.150e+00,2.100e+01,1.020e+02,1.500e+00,5.500e-01,4.300e-01,1.300e+00,4.000e+00,6.000e-01,1.680e+00,8.300e+02,0
1.388e+01,5.040e+00,2.230e+00,2.000e+01,8.000e+01,9.800e-01,3.400e-01,4.000e-01,6.800e-01,4.900e+00,5.800e-01,1.330e+00,4.150e+02,0
1.287e+01,4.610e+00,2.480e+00,2.150e+01,8.600e+01,1.700e+00,6.500e-01,4.700e-01,8.600e-01,7.650e+00,5.400e-01,1.860e+00,6.250e+02,0
1.332e+01,3.240e+00,2.380e+00,2.150e+01,9.200e+01,1.930e+00,7.600e-01,4.500e-01,1.250e+00,8.420e+00,5.500e-01,1.620e+00,6.500e+02,0
1.308e+01,3.900e+00,2.360e+00,2.150e+01,1.130e+02,1.410e+00,1.390e+00,3.400e-01,1.140e+00,9.400e+00,5.700e-01,1.330e+00,5.500e+02,0
1.350e+01,3.120e+00,2.620e+00,2.400e+01,1.230e+02,1.400e+00,1.570e+00,2.200e-01,1.250e+00,8.600e+00,5.900e-01,1.300e+00,5.000e+02,0
1.279e+01,2.670e+00,2.480e+00,2.200e+01,1.120e+02,1.480e+00,1.360e+00,2.400e-01,1.260e+00,1.080e+01,4.800e-01,1.470e+00,4.800e+02,0
1.311e+01,1.900e+00,2.750e+00,2.550e+01,1.160e+02,2.200e+00,1.280e+00,2.600e-01,1.560e+00,7.100e+00,6.100e-01,1.330e+00,4.250e+02,0
1.323e+01,3.300e+00,2.280e+00,1.850e+01,9.800e+01,1.800e+00,8.300e-01,6.100e-01,1.870e+00,1.052e+01,5.600e-01,1.510e+00,6.750e+02,0
1.258e+01,1.290e+00,2.100e+00,2.000e+01,1.030e+02,1.480e+00,5.800e-01,5.300e-01,1.400e+00,7.600e+00,5.800e-01,1.550e+00,6.400e+02,0
1.317e+01,5.190e+00,2.320e+00,2.200e+01,9.300e+01,1.740e+00,6.300e-01,6.100e-01,1.550e+00,7.900e+00,6.000e-01,1.480e+00,7.250e+02,0
1.384e+01,4.120e+00,2.380e+00,1.950e+01,8.900e+01,1.800e+00,8.300e-01,4.800e-01,1.560e+00,9.010e+00,5.700e-01,1.640e+00,4.800e+02,0
1.245e+01,3.030e+00,2.640e+00,2.700e+01,9.700e+01,1.900e+00,5.800e-01,6.300e-01,1.140e+00,7.500e+00,6.700e-01,1.730e+00,8.800e+02,0
1.434e+01,1.680e+00,2.700e+00,2.500e+01,9.800e+01,2.800e+00,1.310e+00,5.300e-01,2.700e+00,1.300e+01,5.700e-01,1.960e+00,6.600e+02,0
1.348e+01,1.670e+00,2.640e+00,2.250e+01,8.900e+01,2.600e+00,1.100e+00,5.200e-01,2.290e+00,1.175e+01,5.700e-01,1.780e+00,6.200e+02,0
1.236e+01,3.830e+00,2.380e+00,2.100e+01,8.800e+01,2.300e+00,9.200e-01,5.000e-01,1.040e+00,7.650e+00,5.600e-01,1.580e+00,5.200e+02,0
1.369e+01,3.260e+00,2.540e+00,2.000e+01,1.070e+02,1.830e+00,5.600e-01,5.000e-01,8.000e-01,5.880e+00,9.600e-01,1.820e+00,6.800e+02,0
1.285e+01,3.270e+00,2.580e+00,2.200e+01,1.060e+02,1.650e+00,6.000e-01,6.000e-01,9.600e-01,5.580e+00,8.700e-01,2.110e+00,5.700e+02,0
1.296e+01,3.450e+00,2.350e+00,1.850e+01,1.060e+02,1.390e+00,7.000e-01,4.000e-01,9.400e-01,5.280e+00,6.800e-01,1.750e+00,6.750e+02,0
1.378e+01,2.760e+00,2.300e+00,2.200e+01,9.000e+01,1.350e+00,6.800e-01,4.100e-01,1.030e+00,9.580e+00,7.000e-01,1.680e+00,6.150e+02,0
1.373e+01,4.360e+00,2.260e+00,2.250e+01,8.800e+01,1.280e+00,4.700e-01,5.200e-01,1.150e+00,6.620e+00,7.800e-01,1.750e+00,5.200e+02,0
1.345e+01,3.700e+00,2.600e+00,2.300e+01,1.110e+02,1.700e+00,9.200e-01,4.300e-01,1.460e+00,1.068e+01,8.500e-01,1.560e+00,6.950e+02,0
1.282e+01,3.370e+00,2.300e+00,1.950e+01,8.800e+01,1.480e+00,6.600e-01,4.000e-01,9.700e-01,1.026e+01,7.200e-01,1.750e+00,6.850e+02,0
1.358e+01,2.580e+00,2.690e+00,2.450e+01,1.050e+02,1.550e+00,8.400e-01,3.900e-01,1.540e+00,8.660e+00,7.400e-01,1.800e+00,7.500e+02,0
1.340e+01,4.600e+00,2.860e+00,2.500e+01,1.120e+02,1.980e+00,9.600e-01,2.700e-01,1.110e+00,8.500e+00,6.700e-01,1.920e+00,6.300e+02,0
1.220e+01,3.030e+00,2.320e+00,1.900e+01,9.600e+01,1.250e+00,4.900e-01,4.000e-01,7.300e-01,5.500e+00,6.600e-01,1.830e+00,5.100e+02,0
1.277e+01,2.390e+00,2.280e+00,1.950e+01,8.600e+01,1.390e+00,5.100e-01,4.800e-01,6.400e-01,9.900e+00,5.700e-01,1.630e+00,4.700e+02,0
1.416e+01,2.510e+00,2.480e+00,2.000e+01,9.100e+01,1.680e+00,7.000e-01,4.400e-01,1.240e+00,9.700e+00,6.200e-01,1.710e+00,6.600e+02,0
1.371e+01,5.650e+00,2.450e+00,2.050e+01,9.500e+01,1.680e+00,6.100e-01,5.200e-01,1.060e+00,7.700e+00,6.400e-01,1.740e+00,7.400e+02,0
1.340e+01,3.910e+00,2.480e+00,2.300e+01,1.020e+02,1.800e+00,7.500e-01,4.300e-01,1.410e+00,7.300e+00,7.000e-01,1.560e+00,7.500e+02,0
1.327e+01,4.280e+00,2.260e+00,2.000e+01,1.200e+02,1.590e+00,6.900e-01,4.300e-01,1.350e+00,1.020e+01,5.900e-01,1.560e+00,8.350e+02,0
1.317e+01,2.590e+00,2.370e+00,2.000e+01,1.200e+02,1.650e+00,6.800e-01,5.300e-01,1.460e+00,9.300e+00,6.000e-01,1.620e+00,8.400e+02,0
1.413e+01,4.100e+00,2.740e+00,2.450e+01,9.600e+01,2.050e+00,7.600e-01,5.600e-01,1.350e+00,9.200e+00,6.100e-01,1.600e+00,5.600e+02,0
